domain,sprint_id,name,date,path
features,f-010,f-010-01-phase-0-oc-triage-extended-2025-09-09,2025-09-09,sprint-management/features/archives/f-010-01-phase-0-oc-triage-extended-2025-09-09
maintenance,d-009,d-009-date-time-safety-2025-09-06,2025-09-06,sprint-management/maintenance/archives/d-009-date-time-safety-2025-09-06
maintenance,d-005,d-005-d-006-quality-foundation-2025-09-03,2025-09-03,sprint-management/maintenance/archives/d-005-d-006-quality-foundation-2025-09-03
maintenance,d-002,d-002-architecture-validation-2025-09-02,2025-09-02,sprint-management/maintenance/archives/d-002-architecture-validation-2025-09-02
maintenance,d-002,d-002-typescript-hardening-2025-09-01,2025-09-01,sprint-management/maintenance/archives/d-002-typescript-hardening-2025-09-01
maintenance,d-001,d-001-technical-debt-remediation-2025-08-31,2025-08-31,sprint-management/maintenance/archives/d-001-technical-debt-remediation-2025-08-31
maintenance,d-002,d-002-epic-003-typescript-hardening-undated,undated,sprint-management/maintenance/archives/d-002-epic-003-typescript-hardening-undated
maintenance,d-002,d-002-epic-004,undated,sprint-management/maintenance/archives/d-002-epic-004
maintenance,d-002,d-002-epic-004-undated,undated,sprint-management/maintenance/archives/d-002-epic-004-undated
maintenance,d-005,d-005-d-006-quality-foundation,undated,sprint-management/maintenance/archives/d-005-d-006-quality-foundation
maintenance,d-005,d-005-d-006-quality-foundation-undated,undated,sprint-management/maintenance/archives/d-005-d-006-quality-foundation-undated